W_REGN,W_PROV,SEQ_NO,FSIZE,TOINC,COFFEE,COCOA,FOOD_OUTSIDE,TOTEX
13,74,110865,6.5,1094486.0,2490.0,0.0,3000.0,856786.0
13,74,110866,5.0,292240.0,3908.0,0.0,15400.0,277339.5
13,74,110867,6.0,972920.0,1760.0,120.0,65600.0,549728.0
13,74,110868,2.0,666400.0,1950.0,0.0,28000.0,578666.75
13,74,110869,6.0,785306.0,920.0,0.0,14200.0,461410.5
13,74,110870,6.5,458300.0,3253.0,2863.0,12400.0,371339.0
13,74,110871,5.5,621000.0,3365.0,534.0,9000.0,389236.0
13,74,110872,4.0,430410.0,1290.0,720.0,1000.0,391244.0
13,74,110873,7.0,524120.0,1278.0,2418.0,0.0,454360.0
13,74,110874,7.5,1268110.0,4456.0,2239.0,26000.0,507428.0
13,74,110875,6.0,772380.0,4665.0,85.0,83000.0,432285.0
13,74,110876,6.0,371175.0,494.0,510.0,2000.0,341533.0
13,74,110877,4.0,395200.0,2305.0,510.0,3600.0,310705.0
13,74,110878,5.5,933320.0,2822.0,1105.0,72000.0,620336.0
13,74,110879,1.0,444200.0,1251.0,670.0,2400.0,262663.0
13,74,110880,2.0,83400.0,0.0,0.0,14000.0,293827.0
13,74,110881,6.5,545505.0,9045.0,2863.0,13000.0,417904.0
13,74,110882,5.0,536839.0,1534.0,1656.0,38000.0,320050.5
13,74,110883,4.0,679000.0,676.0,1656.0,31800.0,517776.75
13,74,110884,4.5,457036.0,1930.0,56.0,62870.0,318908.75
13,74,110885,6.0,560241.0,2314.0,260.0,76350.0,377245.75
13,74,110886,2.5,231008.0,2452.0,39.0,31240.0,202983.75
13,74,110887,3.0,445310.0,708.0,195.0,75500.0,378691.0
13,74,110888,4.0,236149.0,988.0,84.0,26760.0,201833.0
13,74,110889,2.0,211848.0,3328.0,182.0,37440.0,167495.0
13,74,110890,3.0,275904.0,1354.0,28.0,31488.0,207305.5
13,74,110891,2.0,233240.0,0.0,0.0,4600.0,191636.0
13,74,110892,5.0,584620.0,2736.0,330.0,42000.0,523226.0
13,74,110893,4.0,558880.0,5694.0,0.0,65402.0,461174.5
13,74,110894,3.0,213762.0,1027.0,0.0,14080.0,206831.0
13,74,110895,3.5,403298.0,3328.0,0.0,54960.0,351134.0
13,74,110896,3.0,369220.0,4186.0,0.0,35040.0,312101.0
13,74,110897,7.0,514060.0,1140.0,720.0,75200.0,403039.0
13,74,110898,7.0,632820.0,1368.0,720.0,46080.0,454234.0
13,74,110899,3.5,306260.0,1230.0,330.0,14220.0,206934.0
13,74,110900,5.5,358504.0,2106.0,780.0,21710.0,273984.0
13,74,110901,3.5,361565.0,2730.0,330.0,36540.0,223682.0
13,74,110902,5.0,386336.0,5161.0,0.0,34400.0,327632.0
13,74,110903,2.5,323649.25,2108.0,0.0,36800.0,235550.5
13,74,110904,3.0,340657.0,5475.0,1670.0,15200.0,234334.75
13,74,110905,6.5,652520.0,1159.0,0.0,49200.0,452498.0
13,74,110906,5.0,1050120.0,5328.0,0.0,96000.0,804080.0
13,74,110907,2.0,295184.0,5793.0,10.0,9100.0,229025.0
13,74,110908,3.0,275386.0,2938.0,15.0,7820.0,209632.0
13,74,110909,4.0,476676.0,2532.0,2124.0,38700.0,439561.8
13,74,110910,4.0,328200.0,2262.0,2268.0,6200.0,229544.5
13,74,110911,2.5,239016.0,4048.0,1650.0,13000.0,168597.25
13,74,110912,7.0,426160.0,3823.5,0.0,39200.0,362058.75
13,74,110913,3.0,549290.0,1578.0,15.0,104000.0,491436.0
13,74,110914,5.0,433000.0,2040.0,1068.0,76600.0,451289.0
13,74,110915,1.5,154000.0,3000.0,96.0,41600.0,166083.0
13,74,110916,3.0,282800.0,864.0,480.0,72800.0,283341.0
13,74,110917,6.0,725540.0,4124.0,45.0,113100.0,725557.0
13,74,110918,1.0,233200.0,1380.0,0.0,31200.0,247394.0
13,74,110919,4.5,831000.0,1026.0,0.0,111300.0,796447.0
13,74,110920,5.5,1103200.0,1272.0,0.0,167100.0,1091069.0
13,74,110921,2.5,647704.0,750.0,2484.0,105300.0,582541.0
13,74,110922,2.5,527600.0,2088.0,0.0,57200.0,434320.0
13,74,110923,4.0,313400.0,672.0,270.0,39400.0,309450.0
13,74,110924,1.0,321200.0,2056.0,0.0,39000.0,373872.0
13,74,110925,6.0,877400.0,2034.0,2040.0,123000.0,761298.0
13,74,110926,4.0,718000.0,1176.0,0.0,133000.0,706901.0
13,74,110927,6.0,964000.0,2070.0,528.0,122600.0,872086.0
13,74,110928,3.5,932000.0,1212.0,0.0,143600.0,854557.0
13,74,110929,1.0,360000.0,408.0,0.0,44200.0,326495.0
13,74,110930,2.0,726000.0,1050.0,0.0,114600.0,665750.0
13,74,110931,1.0,176200.0,1680.0,0.0,35100.0,168166.0
13,74,110932,3.0,350400.0,3055.0,1050.0,30300.0,368862.0
13,74,110933,4.5,918000.0,1656.0,1416.0,134400.0,860564.0
13,74,110934,3.0,755960.0,1224.0,540.0,128100.0,755170.0
13,74,110935,5.5,255470.0,7120.0,2142.0,12760.0,248659.0
13,74,110936,3.5,407030.0,4940.0,2736.0,46400.0,359722.0
13,74,110937,6.0,501110.0,8420.0,2982.0,51000.0,439313.0
13,74,110938,1.0,677350.0,2250.0,420.0,52260.0,401938.0
13,74,110939,6.0,1108120.0,6193.0,0.0,109900.0,829556.0
13,74,110940,1.0,411160.0,1808.0,468.0,32760.0,390722.0
13,74,110941,4.0,533420.0,5820.0,2808.0,87260.0,468228.0
13,74,110942,2.0,1682900.0,6900.0,0.0,103900.0,1051049.0
13,74,110943,4.0,830600.0,1860.0,420.0,113300.0,764338.0
13,74,110944,5.0,1156500.0,840.0,3324.0,62050.0,785208.0
13,74,110945,6.0,1941880.0,2940.0,2328.0,156800.0,1612723.0
13,74,110946,1.0,2249500.0,4440.0,720.0,28060.0,1703102.0
13,74,110947,2.5,327000.0,1313.0,0.0,18000.0,313846.0
13,74,110948,5.0,719200.0,7540.0,2860.0,59700.0,692002.0
13,74,110949,2.0,299000.0,1812.0,0.0,17100.0,253703.0
13,74,110950,1.0,264800.0,6095.0,0.0,26000.0,251135.0
13,74,110951,3.0,205050.0,1456.0,0.0,23920.0,176330.0
13,74,110952,5.0,765850.0,2236.0,348.0,91900.0,545798.0
13,74,110953,4.0,361200.0,8820.0,0.0,38300.0,258617.0
13,74,110954,3.0,604800.0,2800.0,0.0,23600.0,414473.0
13,74,110955,1.0,1786400.0,2520.0,0.0,29200.0,1351833.0
13,74,110956,2.0,508036.0,1080.0,0.0,28820.0,462110.0
13,74,110957,5.0,207650.0,1638.0,0.0,33700.0,156627.0
13,74,110958,2.0,388000.0,1659.0,0.0,31200.0,290195.0
13,74,110959,5.0,781296.0,2345.0,1356.0,68000.0,672487.0
13,74,110960,6.0,848964.0,2600.0,3705.0,67900.0,790355.0
13,74,110961,1.5,510280.0,1670.0,0.0,85900.0,417347.0
13,74,110962,3.0,4021500.0,3540.0,78.0,71600.0,3090179.0
13,74,110963,2.0,259600.0,2600.0,0.0,13700.0,234411.0
13,74,110964,2.0,404064.0,1685.0,0.0,11700.0,364556.25
13,74,110965,3.0,2010000.0,2600.0,0.0,57800.0,824528.0
13,74,110966,6.0,284942.0,702.0,0.0,63600.0,249462.0
13,74,110967,9.5,588840.0,7822.0,0.0,130000.0,471614.0
13,74,110968,2.0,359875.0,3794.0,0.0,58500.0,284793.0
13,74,110969,3.0,244265.0,3313.0,0.0,6700.0,176720.0
13,74,110970,6.0,294495.0,2951.0,0.0,67600.0,280525.0
13,74,110971,2.0,267910.0,2282.0,0.0,35100.0,237385.0
13,74,110972,4.5,230620.0,2905.0,0.0,40300.0,218285.0
13,74,110973,6.0,213580.0,3054.0,750.0,47000.0,209238.0
13,74,110974,3.5,430328.0,3210.0,0.0,78000.0,326752.0
13,74,110975,5.0,203720.0,2833.0,0.0,30200.0,188919.0
13,74,110976,3.0,349679.0,1638.0,0.0,27000.0,218023.0
